//,SCOUT,,SNIPER,,SOLDIER,,DEMOMAN,,MEDIC,,HWGUY,,PYRO,,SPY,,ENGINEER,
//,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max
BOT_UTIL_BUILDSENTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_BUILDDISP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_BUILDTELENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2
BOT_UTIL_BUILDTELEXT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
BOT_UTIL_UPGSENTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_UPGDISP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_UPGTELENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2
BOT_UTIL_UPGTELEXT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_UPGTMSENTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_UPGTMDISP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_UPGTMTELENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_UPGTMTELEXT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_GOTODISP,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0
BOT_UTIL_GOTORESUPPLY_FOR_HEALTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_GETAMMOKIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_GETAMMOTMDISP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_GETAMMODISP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_GETFLAG,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_GETHEALTHKIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_GETFLAG_LASTKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_SNIPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_ROAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
//,SCOUT,,SNIPER,,SOLDIER,,DEMOMAN,,MEDIC,,HWGUY,,PYRO,,SPY,,ENGINEER,
//,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max
BOT_UTIL_CAPTURE_FLAG,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_GOTORESUPPLY_FOR_AMMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_FIND_NEAREST_HEALTH,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_FIND_NEAREST_AMMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_ATTACK_POINT,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_DEFEND_POINT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_DEFEND_FLAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_ENGI_LOOK_AFTER_SENTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_DEFEND_FLAG_LASTKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_PUSH_PAYLOAD_BOMB,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_DEFEND_PAYLOAD_BOMB,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0
BOT_UTIL_MEDIC_HEAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_MEDIC_HEAL_LAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_MEDIC_FINDPLAYER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_SAP_NEAREST_SENTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_SAP_ENEMY_SENTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
//,SCOUT,,SNIPER,,SOLDIER,,DEMOMAN,,MEDIC,,HWGUY,,PYRO,,SPY,,ENGINEER,
//,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max
BOT_UTIL_SAP_LASTENEMY_SENTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_SAP_DISP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_BACKSTAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_REMOVE_SENTRY_SAPPER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_REMOVE_DISP_SAPPER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_REMOVE_TMSENTRY_SAPPER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_REMOVE_TMDISP_SAPPER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_DEMO_STICKYTRAP_LASTENEMY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_DEMO_STICKYTRAP_POINT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_DEMO_STICKYTRAP_FLAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_DEMO_STICKYTRAP_FLAG_LASTKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_DEMO_STICKYTRAP_PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_REMOVE_TMTELE_SAPPER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_SAP_NEAREST_TELE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_SAP_ENEMY_TELE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_SAP_LASTENEMY_TELE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_GOTO_NEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_MESSAROUND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_ENGI_MOVE_SENTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_ENGI_MOVE_DISP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_ENGI_MOVE_ENTRANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_ENGI_MOVE_EXIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_ENGI_DESTROY_SENTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_ENGI_DESTROY_DISP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_ENGI_DESTROY_ENTRANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_ENGI_DESTROY_EXIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
//,SCOUT,,SNIPER,,SOLDIER,,DEMOMAN,,MEDIC,,HWGUY,,PYRO,,SPY,,ENGINEER,
//,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max
 BOT_UTIL_MEDIC_FINDPLAYER_AT_SPAWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_HL2DM_GRAVIGUN_PICKUP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_HL2DM_FIND_ARMOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_FIND_LAST_ENEMY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_HL2DM_USE_CHARGER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_HL2DM_USE_HEALTH_CHARGER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_THROW_GRENADE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_PICKUP_WEAPON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_ATTACK_NEAREST_POINT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_DEFEND_NEAREST_POINT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_DEFEND_BOMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_DEFUSE_BOMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_PLANT_BOMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_PLANT_NEAREST_BOMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_DEFUSE_NEAREST_BOMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_DEFEND_NEAREST_BOMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_PICKUP_BOMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_PIPE_NEAREST_SENTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_PIPE_LAST_ENEMY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_PIPE_LAST_ENEMY_SENTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BOT_UTIL_MAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
